skos:Scheme,ID,rdf:type (skos:),dct:source ,skos:broader,skos:broader name,skos:note @en,skos:scopeNote @en,skos:prefLabel @de,skos:altLabel @de,skos:altLabel @de,skos:prefLabel @en,skos:altLabel @en,skos:altLabel @en,skos:altLabel @en,external concept (wikidata),type of match (wikidata),external concept (chronontology),type of match (chronontology),external concept (getty),type of match (getty)
kulturepoche,100,topConcept,OeAI,,KulturEpoche,,,achämenidisch,,,Achaemenid,Achemenid,,,,,https://chronontology.dainst.org/period/vpg0DvwPQxyc,skos:exactMatch,,
kulturepoche,101,topConcept,OeAI,,KulturEpoche,,,ägyptisch,,,Egyptian,,,,,,https://chronontology.dainst.org/period/6VooUMYGJjOI,skos:exactMatch,,
kulturepoche,102,topConcept,OeAI,,KulturEpoche,,,assyrisch,,,Assyrian,,,,,,https://chronontology.dainst.org/period/8Acc6pBnRz4V,skos:exactMatch,,
kulturepoche,103,topConcept,OeAI,,KulturEpoche,,,byzantinisch,,,Byzantine,,,,,,https://chronontology.dainst.org/period/Rk5jShCApBwq,skos:exactMatch,,
kulturepoche,104,topConcept,OeAI,,KulturEpoche,,,Catalhöyük,Catalhüyük,,Catalhöyük,Çatalhüyük,,,https://www.wikidata.org/wiki/Q192522,skos:exactMatch,,,,
kulturepoche,105,topConcept,OeAI,,KulturEpoche,,,etruskisch,,,Etruscan,,,,,,https://chronontology.dainst.org/period/RGbECa9kHJT4,skos:exactMatch,,
kulturepoche,106,topConcept,OeAI,,KulturEpoche,,,Fikirtepe,,,Fikirtepe,,,,,,,,,
kulturepoche,107,topConcept,OeAI,,KulturEpoche,,,frühchristlich,,,Early Christian,,,,,,https://chronontology.dainst.org/period/J316Dxjfexrl,skos:exactMatch,,
kulturepoche,108,topConcept,OeAI,,KulturEpoche,,,griechisch,,,Greek,,,,,,https://chronontology.dainst.org/period/YOyP9TLDuhrb,skos:exactMatch,,
kulturepoche,109,topConcept,OeAI,,KulturEpoche,,,Hacilar,,,Hacilar,,,,https://www.wikidata.org/wiki/Q908860,skos:exactMatch,,,,
kulturepoche,110,topConcept,OeAI,,KulturEpoche,,,Halaf,,,Halaf,,,,,,https://chronontology.dainst.org/period/CePG4Xyy5sWn,skos:exactMatch,,
kulturepoche,111,topConcept,OeAI,,KulturEpoche,,,Hassuna,,,Hassuna,,,,,,https://chronontology.dainst.org/period/RcTmuXxf7IHX,skos:exactMatch,,
kulturepoche,112,topConcept,OeAI,,KulturEpoche,,,helladisch,,,Helladic,,,,,,https://chronontology.dainst.org/period/IOVQ33rqV4KM,skos:exactMatch,,
kulturepoche,113,topConcept,OeAI,,KulturEpoche,,,hethitisch,,,Hittite,,,,,,https://chronontology.dainst.org/period/OYIpMMUk6oOF,skos:exactMatch,,
kulturepoche,114,topConcept,OeAI,,KulturEpoche,,,iranisch,persisch,,Iranian,Persian,,,,,https://chronontology.dainst.org/period/elISqvMiPKMo,skos:exactMatch,,
kulturepoche,115,topConcept,OeAI,,KulturEpoche,,,islamisch,,,Islamic,,,,,,https://chronontology.dainst.org/period/gzNoWGDHpBcr,skos:exactMatch,,
kulturepoche,116,topConcept,OeAI,,KulturEpoche,,,italisch,,,Italic,,,,,,https://chronontology.dainst.org/period/2VmiOlvIObfR,skos:exactMatch,,
kulturepoche,117,topConcept,OeAI,,KulturEpoche,,,Kirbet Kerak,,,Khirbet Kerak,,,,,,https://chronontology.dainst.org/period/xfbzbyFXzV2z,skos:exactMatch,,
kulturepoche,118,topConcept,OeAI,,KulturEpoche,,,kykladisch,,,Cycladic,,,,,,https://chronontology.dainst.org/period/lRiuE8KqMdM4,skos:exactMatch,,
kulturepoche,119,topConcept,OeAI,,KulturEpoche,,,lydisch,,,Lydian,,,,,,https://chronontology.dainst.org/period/KprSO1DTzWOC,skos:exactMatch,,
kulturepoche,120,topConcept,OeAI,,KulturEpoche,,,minoisch,,,Minoan,,,,,,https://chronontology.dainst.org/period/fIA3SHJthHYh,skos:exactMatch,,
kulturepoche,121,topConcept,OeAI,,KulturEpoche,,,Mittelalter,,,Middle Ages,Medieval Period,,,,,https://chronontology.dainst.org/period/6Ulfr1r7LcBs,skos:exactMatch,,
kulturepoche,122,topConcept,OeAI,,KulturEpoche,,,mykenisch,,,Mycenaean,Mycenean,,,,,https://chronontology.dainst.org/period/iKJWJJjC5obx,skos:exactMatch,,
kulturepoche,123,topConcept,OeAI,,KulturEpoche,,,Neuzeit,,,Modern Era,,,,,,,,,
